block,plot,n,Order,T_mean,SPEI_mean,P_mean,Driest,miu_mix,miu_mono,evenness_mix,evenness_mono,CorS_mono,cov.mono,NBE.F,SE,CE,CV.mix,CV.mono,CV.avg,CVS.mix,CVS.mono,phi.mix,phi.mono,AE.SpVar,SE.SpVar,AE.Syn,SE.Syn,Richness,NIIE,NIDE,NBE,NIDE.SpVar,NIDE.Syn,NIIE.Syn,NIIE.SpVar
B1,B1A01,15,1,9.781826021,0.518395017,524.6,-0.623814083,618.8020833,205.9617969,0.786354904,0.949039262,0.396742304,-0.843828046,3.00445079,0.24954814,1.754902649,0.226508681,0.348266341,0.574312989,0.934571385,0.516954814,0.242366377,0.673688166,0.843452472,-0.035612872,-1.21774548,0.347173083,16,0.606405127,0.650389241,0.39439937,1.8078396,0.359760479,0.673688166,0.900127325
B1,B1A01,15,2,9.743528589,0.481813883,543.3,-0.623814083,602.57475,162.6606594,0.731899155,0.939928975,0.469615914,0.076006313,3.704489778,0.300046443,2.404443335,0.25736724,0.52736826,0.624888039,0.796355061,0.631429808,0.32318152,0.835196967,0.183391982,0.077801347,-0.809279505,-0.040988289,16,0.843940397,0.488021861,0.411861363,1.261193329,0.38695246,0.835196967,1.010468705
B1,B1A01,15,3,9.733660157,0.201212317,553.4,-0.623814083,605.8614167,120.3801906,0.688632956,0.951779961,0.189232274,0.047280373,5.032899628,0.631664577,3.401235051,0.249899972,0.423966205,0.665569329,0.677065182,0.671067951,0.36909293,0.631778353,-0.030068171,0.039005016,-0.614388581,-0.044306954,16,0.63699781,0.589433707,0.37546798,1.008936845,0.584212688,0.631778353,1.008261532
B1,B1A01,15,4,9.519113581,0.1530159,594.28,-0.623814083,568.3245833,107.7887844,0.64467589,0.956772666,0.257654409,-0.181472142,5.272576239,1.2733269,2.999249339,0.324952644,0.460849211,0.7566068,0.658274643,0.733036537,0.493642962,0.628685185,-0.113070151,0.011080835,-0.212606724,-0.170855849,16,0.609100012,0.705117067,0.429486814,0.898010685,0.785198973,0.628685185,0.968847408
B1,B1A01,15,5,9.507727826,0.469598267,593.18,-0.623814083,538.1873333,86.37172188,0.604313826,0.941738086,0.133470546,-0.355563396,6.231059445,2.01351329,3.217546155,0.296456169,0.346424973,0.811942867,0.555068596,0.754309565,0.534089248,0.45926101,-0.223512028,-0.040624844,0.003400147,0.349010301,16,0.42666176,0.855758656,0.365119494,0.735863128,1.162931833,0.45926101,0.929018032
B1,B1A01,15,6,9.336048779,0.484303917,549.74,-0.550285833,494.0213333,79.93845625,0.636952102,0.912244655,-0.003578558,-0.487079486,6.180020938,2.129714563,3.050306375,0.177597245,0.220502635,0.806191187,0.608905869,0.720886652,0.291666174,0.305876984,-0.17713447,0.021796897,-1.305833784,1.215073782,16,0.273511592,0.80542006,0.220291723,0.844662427,0.953540769,0.305876984,0.894188207
B1,B1A01,15,7,9.195238759,0.102059667,540.84,-0.550285833,517.4737667,84.47839375,0.653672797,0.903253245,-0.026968473,-0.959180104,6.125516167,1.981565999,3.143950168,0.178620979,0.138879092,0.809658467,0.614011003,0.650700408,0.290908434,0.21343016,-0.050652431,-0.005732049,-0.593025315,1.450834238,16,0.171527994,1.286161772,0.220612748,0.943615519,1.363014645,0.21343016,0.803672703
B1,B1A01,15,8,9.413262924,0.1212659,533.94,-0.550285833,506.8191,86.81343313,0.642084645,0.883822431,-0.021584697,-1.381636808,5.838026233,1.32711632,3.510909914,0.199627316,0.137936521,0.84960639,0.620770076,0.626796225,0.32158012,0.220065973,-0.031029237,0.02141503,-0.649550462,1.784917781,16,0.162353442,1.447240467,0.234964471,0.990385793,1.461289608,0.220065973,0.737748954
B1,B1A01,15,9,9.874044512,-0.23300125,489.06,-1.2581535,496.9621,80.40293313,0.644921209,0.86238442,0.025346955,-1.215465873,6.180895157,0.247905648,4.93298951,0.238030843,0.231489573,0.809737093,0.599162221,0.598096528,0.397272783,0.387043834,-0.107332157,0.109113965,-0.429892718,0.48344798,16,0.285882387,1.0282573,0.293960651,1.001781809,1.026428401,0.387043834,0.738630517
B1,B1A01,15,10,9.902422496,-0.753896933,465.3,-1.549352083,460.1431,71.38399563,0.633900033,0.853396592,0.20391435,-1.263188854,6.446026115,-0.129544967,5.575571082,0.237634578,0.425425693,0.944351338,0.654361377,0.696611718,0.363154957,0.610707059,-0.202446134,0.141794929,-0.72659276,0.080197497,16,0.450495145,0.558580692,0.25163789,0.939348794,0.594646733,0.610707059,0.737661599
B1,B1A01,15,11,10.07977113,-0.66072695,479.18,-1.549352083,397.9711,64.77568313,0.612695886,0.832700178,0.166062004,-1.272587149,6.143834859,-0.076311653,5.220146512,0.305163108,0.381708028,0.983656819,0.640104107,0.708611938,0.476739807,0.53867005,-0.019646129,-0.077032783,0.042756215,-0.259475969,16,0.388049999,0.799467358,0.310233307,0.903321089,0.885031212,0.53867005,0.720385325
B1,B1A01,15,12,10.40158828,-0.659007883,433.66,-1.549352083,366.063,57.14394563,0.587219046,0.807102861,0.153471028,-0.935795659,6.405980476,-3.690997044,9.096977521,0.201014182,0.444199959,1.032801399,0.577349428,0.80353583,0.348167283,0.552806661,-0.141645642,-0.13984324,-0.98281018,0.379480203,16,0.430092329,0.452530842,0.194630044,0.718511119,0.629817452,0.552806661,0.778015822
B1,B1A01,15,13,10.44274379,-0.63677245,405.7,-1.549352083,302.719,45.9724375,0.581229857,0.834636923,0.103227664,-0.50838748,6.584793334,1.10017752,4.484615814,0.425933455,0.365128592,0.98514378,0.699301372,0.83032439,0.609084254,0.439742101,-0.056132472,-0.101664914,-0.425186785,1.343672861,16,0.370634824,1.166529996,0.43235664,0.842202614,1.385094248,0.439742101,0.842845894
B1,B1A01,15,14,10.50580274,-0.40832675,433.38,-1.549352083,244.7509,42.91875,0.552135871,0.85104218,0.135660752,-0.251442685,5.702656764,1.294072353,3.408584411,0.710346269,0.375794197,0.992865605,0.863666515,0.910845565,0.822477492,0.412577293,-0.03049084,-0.021306141,0.85798279,2.116104479,16,0.378494527,1.890253426,0.715450576,0.94820302,1.993511291,0.412577293,0.917390592
