plot,Order,n,Richness,miu_mix,miu_mono,evenness_mix,evenness_mono,CorS_mono,NBE.F,SE,CE,CV.mix,CV.mono,CV.avg,CVS.mix,CVS.mono,phi.mix,phi.mono,AE.SpVar,SE.SpVar,AE.Syn,SE.Syn,NIIE,NIDE,NBE,NIDE.SpVar,NIDE.Syn,NIIE.Syn,NIIE.SpVar,Exp
B1A01,New,15,16,323.281,168.185375,0.749876952,0.897686812,0.490237725,1.9221707,-0.521433086,1.443603786,0.272512783,0.658841331,1.038812919,1.087781033,0.869152767,0.250521727,0.758027077,0.132896608,0.118645209,-0.975025252,0.084250077,0.6342252,0.413624298,0.262330953,1.251541817,0.330491792,0.758027077,0.836678819,D
B1A01,Old,15,16,276.015,50.382375,0.569564567,0.841595099,0.083543378,5.478403906,0.604402661,3.874001245,0.549238825,0.318004652,1.007306102,1.006644836,0.895060147,0.545613314,0.355288584,0.013222948,0.111444303,0.682070494,0.676274915,0.31569813,1.727140849,0.545255136,1.124667251,1.535690532,0.355288584,0.888568178,D
B1A02,New,5,8,473.179,147.1265,0.448666518,0.971528392,0.418822837,3.216137134,0.404059527,1.812077607,0.567348669,0.474287486,0.655126301,1.136029986,0.637471684,0.499413463,0.744013417,0.827860169,-0.045773192,-0.961996119,0.412562678,0.723963433,1.196212604,0.866014184,1.782086977,0.671242549,0.744013417,0.973051583,D
B1A02,Old,5,8,333.972,82.4755,0.109766699,0.832510631,0.234589706,4.049347988,1.97054666,1.078801328,0.152201352,0.228181433,0.656877603,0.21109132,0.34326328,0.721021368,0.664741749,0.278802742,-0.663848181,-0.03326993,0.209765672,0.347372832,0.667019003,0.23170428,0.614954561,1.084663884,0.664741749,0.522568099,D
B1A03,New,5,8,45.307,99.28725,0.528465942,0.8291979,0.119454167,0.456322438,-0.112870465,-0.430807097,1.580099514,0.487783499,0.723082497,1.725795037,0.730343105,0.915577737,0.667882665,1.412983645,-0.049991476,-0.096668258,0.975942253,0.674589001,3.239345972,2.185227164,2.362992169,1.370866148,0.667882665,1.010041189,D
B1A03,Old,5,8,41.87,11.715275,0.490850486,0.904350853,-0.009408183,3.573966467,-3.705859764,6.279826231,1.253887492,0.605700943,1.089562111,1.535447061,1.027020719,0.816626977,0.589765066,0.195369022,0.29968072,-0.124471521,1.041768363,0.555912267,2.070142877,1.150817819,1.495049741,1.384664884,0.589765066,0.942599517,D
B1A06,New,12,16,308.8766667,178.974,0.813217195,0.951458827,0.453077098,1.725818648,-0.303874673,1.029693321,0.729676083,0.516388092,0.790563049,1.097610205,0.704915056,0.664786168,0.732553643,0.624361004,-0.067279486,-0.466982433,0.290523167,0.653190271,1.413038166,0.922982783,1.557081517,0.907491451,0.732553643,0.891662034,D
B1A06,Old,12,16,187.155,67.8962375,0.62689636,0.827393973,0.103410479,2.756485586,-0.389490803,2.145976389,0.287391882,0.271609419,0.849911345,0.881666097,0.555156264,0.325964538,0.489248589,0.424965619,0.163174791,-0.500390439,-0.055713238,0.319573824,1.058107202,0.338143365,1.58814041,0.666255449,0.489248589,0.653193145,D
B1A07,New,2,2,87.78066667,165.226,0.48050274,0.940740365,0.086948856,0.531276353,-0.17727726,-0.291446387,0.70355169,0.6392267,0.754257285,1.011934197,0.798280603,0.695254388,0.800754394,0.476366292,-0.20872407,-0.338716083,0.092572812,0.847491583,1.100629386,0.93277414,1.267642222,0.868249232,0.800754394,1.058366447,D
B1A07,Old,2,2,99.165,43.049,0.894944701,0.804949537,0.970358308,2.303537829,-1.395146622,2.698684451,0.759668437,1.0389861,1.206640102,0.916846381,1.046138632,0.828566762,0.993162921,-0.390867019,0.26727704,-0.3048707,0.000878363,0.86105716,0.731163234,0.629573338,0.876410021,0.834270737,0.993162921,0.866984804,D
