Richness,plot,Order,SPEI_mean,Driest,NBE,NIIE,NIIE.Syn,NIIE.SpVar,NIDE,NIDE.SpVar,NIDE.Syn
16,B1A01,1,0.518395017,-0.623814083,-0.194690431,-0.107934088,-0.085912113,-0.020574701,-0.167778137,0.332268718,-0.201043818
16,B1A01,2,0.481813883,-0.623814083,-0.118818823,0.232197367,0.157316662,0.13557064,-0.430706096,-0.119795061,-0.297252699
16,B1A01,3,0.201212317,-0.623814083,-0.121044772,0.085269701,0.001701169,0.160157067,-0.388118417,-0.316724334,-0.172177347
16,B1A01,4,0.1530159,-0.623814083,-0.042783758,0.099953167,0.032524854,0.139753305,-0.314171467,-0.388395213,-0.022407047
16,B1A01,5,0.469598267,-0.623814083,-0.088347382,-0.049456491,-0.110591365,0.114669511,-0.195903154,-0.520094008,0.315599608
16,B1A01,6,0.484303917,-0.550285833,-0.217811415,-0.175620333,-0.242480226,0.091887704,-0.272692642,-0.38641626,0.073749872
16,B1A01,7,0.102059667,-0.550285833,-0.204500534,-0.254787317,-0.316753147,0.011558653,0.185685159,-0.266428738,0.455780332
16,B1A01,8,0.1212659,-0.550285833,-0.178896487,-0.244197219,-0.294374383,-0.045541188,0.327391354,-0.201437613,0.530282727
16,B1A01,9,-0.23300125,-1.2581535,-0.109975053,-0.103234617,-0.113510256,-0.036876387,-0.10867957,-0.173969667,0.074452628
16,B1A01,10,-0.753896933,-1.549352083,-0.143419372,0.076973079,0.122574658,-0.030882961,-0.593641697,-0.22202585,-0.376086353
16,B1A01,11,-0.66072695,-1.549352083,-0.076792427,0.028635269,0.061774433,-0.041861028,-0.366582465,-0.24504813,-0.102669927
16,B1A01,12,-0.659007883,-1.549352083,-0.18506348,0.083556589,0.086169424,0.02151928,-0.726142438,-0.417985076,-0.373374306
16,B1A01,13,-0.63677245,-1.549352083,0.059408096,0.035946606,-0.01745834,0.091638666,-0.02375574,-0.283371458,0.367652502
16,B1A01,14,-0.40832675,-1.549352083,0.348746908,0.054775401,-0.035886041,0.171080504,0.689216235,-0.167258746,0.962876117
16,B1A01,15,-0.071427333,-0.440715583,0.363008566,0.002190984,-0.085040697,0.146817218,1.081961624,0.108214739,0.845478327
16,B1A06,1,0.518395017,-0.623814083,0.467913694,0.012209977,-0.024474125,0.067630639,0.63665978,-0.068152115,0.47288034
16,B1A06,2,0.481813883,-0.623814083,0.439679423,0.232886489,0.202147562,0.084877813,0.230130316,0.192235958,0.046051955
16,B1A06,3,0.201212317,-0.623814083,0.029898622,0.135633023,0.12011628,0.068140696,-0.211708159,0.389730462,-0.309935741
16,B1A06,4,0.1530159,-0.623814083,0.05776881,0.183727413,0.16925984,0.076126695,-0.254302137,0.325755386,-0.333096177
16,B1A06,5,0.469598267,-0.623814083,0.236903248,0.155452096,0.11978035,0.10145829,0.041439105,0.433665905,-0.200382646
16,B1A06,6,0.484303917,-0.550285833,0.02306028,-0.023932966,-0.095548224,0.136724497,0.006469959,-0.234561843,0.208582739
16,B1A06,7,0.102059667,-0.550285833,0.120209456,0.072196332,0.017024897,0.11889503,-0.006574902,-0.161808085,0.136329857
16,B1A06,8,0.1212659,-0.550285833,-0.049241787,0.008480442,-0.007297192,0.035080551,-0.241314546,-0.040743207,-0.16778068
16,B1A06,9,-0.23300125,-1.2581535,-0.016587572,0.02999299,0.064204822,-0.033402644,-0.212720943,0.092019973,-0.222967459
16,B1A06,10,-0.753896933,-1.549352083,-0.096005817,0.021907354,0.104343972,-0.101126518,-0.395952295,-0.072632355,-0.276105807
16,B1A06,11,-0.66072695,-1.549352083,-0.146062567,-0.007034539,0.00688772,-0.033862046,-0.48223395,-0.275781802,-0.204036535
16,B1A06,12,-0.659007883,-1.549352083,-0.222764376,0.112422139,0.113793067,0.03422351,-0.836748335,-0.355554557,-0.565355012
16,B1A06,13,-0.63677245,-1.549352083,-0.218546845,-0.010152439,0.011903636,-0.05938681,-0.714524021,-0.199890891,-0.503484352
16,B1A06,14,-0.40832675,-1.549352083,-0.272169519,0.012225747,0.02708848,-0.039878394,-0.919639388,-0.220642402,-0.716160752
16,B1A06,15,-0.071427333,-0.440715583,-0.103235622,0.006066679,0.048919308,-0.088557815,-0.40480341,-0.037446075,-0.288433477
16,B1A11,1,0.518395017,-0.623814083,0.396492969,0.037247498,0.003101131,0.064725171,0.493168699,0.034262912,0.30772579
16,B1A11,2,0.481813883,-0.623814083,0.016364543,0.276290815,0.22417328,0.109559909,-0.302710073,0.001198181,-0.238521561
16,B1A11,3,0.201212317,-0.623814083,-0.065488259,0.094429922,0.031815675,0.128123066,-0.310494728,-0.112309223,-0.206625894
16,B1A11,4,0.1530159,-0.623814083,0.146903208,-0.041104082,-0.101548718,0.117189306,0.303611483,-0.28749882,0.516741406
16,B1A11,5,0.469598267,-0.623814083,0.252505274,-0.072480014,-0.118314287,0.079569948,0.697360175,-0.030502232,0.579910817
16,B1A11,6,0.484303917,-0.550285833,0.108656295,0.10601924,0.021484621,0.171919243,-0.093228822,-0.25431895,0.128526546
16,B1A11,7,0.102059667,-0.550285833,0.167412508,-0.000117991,-0.061366608,0.116977542,0.289785043,-0.113706778,0.360862127
16,B1A11,8,0.1212659,-0.550285833,0.24059008,-0.110242887,-0.148128868,0.025605518,1.088837583,0.069123061,0.820603321
16,B1A11,9,-0.23300125,-1.2581535,0.03971704,-0.01898327,-0.002892167,-0.031761569,0.061691366,-0.096568244,0.158705157
16,B1A11,10,-0.753896933,-1.549352083,-0.154246599,0.031012022,0.135205991,-0.119564658,-0.55694335,-0.337238324,-0.248426565
16,B1A11,11,-0.66072695,-1.549352083,-0.070717588,0.025733716,0.085276309,-0.077138421,-0.344786879,-0.249707055,-0.073828299
16,B1A11,12,-0.659007883,-1.549352083,-0.071273517,0.056735276,0.087000811,-0.028094622,-0.413877412,-0.396752109,0.030673714
16,B1A11,13,-0.63677245,-1.549352083,-0.259804065,-0.031132612,0.015731319,-0.109348019,-0.817555083,-0.139255218,-0.639540978
16,B1A11,14,-0.40832675,-1.549352083,-0.223237199,-0.022598828,0.028931901,-0.115553272,-0.724594818,0.000826166,-0.603825604
